Name	zul. aktualisiert am	Beschreibung des veganen Angebots	Straße und Hausnummer	Postleitzahl	Latitude	Longiture	Nächstgelegene Haltestelle (Bahn und Bus)	Telefon	Kommentar zu den Öffnungszeiten	Mo	Di	Mi	Do	Fr	Sa	So	Website	E-Mail	barrierefrei?	WC barrierefrei?	Hunde erlaubt?	Kindersitz?	Catering?	Lieferservice?	bio?	Sitzplätze außen?	glutenfrei?	WLAN?	Restaurant?	Imbiss?	Café?	Eiscafé?	Bäcler?	Bar?	Sitzplätze innen?
Süsse Marie Veganerie	28.12.17	Hier gibt es veganen Yufka und Döner, Salate, Frühlingsrollen, Burger, Süßkartoffelecken und weitere von der Jahreszeit abhängende Speisen.	Rüppurerstraße 106	76137	48.996062	8.408786	S Tivoli	0721 97676955		14:00 - 22:00	-	14:00 - 22:00	14:00 - 22:00	14:00 - 22:00 	14:00 - 22:00	14:00 - 22:00	www.suesse-marie.de	info@suessemarie.de	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	1
My Heart Beats Vegan	28.12.17	Hier gibt es verschiedene Burger, Salate und Pastagerichte. Außerdem auch Chili sin Carne und ein Currygericht	Kriegsstraße 94	76133	49.005798	8.406673	Bus Ettliger Tor	0721 97667731		-	11:30 - 22:00	11:30 - 22:00	11:30 - 22:00	11:30  -22:00	11:30 - 22:00	11:30 - 22:00	www.mhbv.de		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1
FreshSub Filiale Karlsruhe	28.12.17	Hier gibt es Sandwiches mit Kichererbsenbällchen oder Hummus, Focaccia, Falafel-Salat und Linsen- sowie Karotte-Ingwer-Suppe.	Kaiserpassage 4	76133	49.010351	8.397204	S Europaplatz	0721 8248888		11:30 - 20:30	11:30 - 20:30	11:30 - 20:30	11:30 - 20:30 	11:30 - 05:30	11:30 - 05:30	-	www.freshsub.de		TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	1
.THE BLACK DOG - HOTDOGS 	28.12.17	Hier gibt es 8 vegane Hotdogs mit verschiedenen Beilagen. Mittwochs ist alles vegane 20% reduziert.	Kaiserstraße 132 im Passagehof	76133	49.010520	8.396302	S Europaplatz	0721 66996980		11:30 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 21:00	11:30 - 23:00 	11:30 - 23:00	-	www.theblackdog-hotdogs.de	info@theblackdog-hotdogs.de	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	1
.Cafelinchen	28.12.17	Hier gibt es veganen Kaffee und Kuchen	Akademienstraße 48	76133	49.010952	8.392964	S Europaplatz	0721 60994622		11:00 - 18:00	11:00 - 18:00	-	11:00 - 18:00	11:00 - 18:00	11:00 - 18:00	-	www.cafelinchen.de	webmaster@cafelinchen.de	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	1
.Euphrat	28.12.17	Hier gibt es veganen Döner und Yufka	Hirschstraße 28	76133	49.008361	8.391466	S Europaplatz	0721 28681											FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	1
Jaroon's American Diner	28.12.17	Hier gibt es zwei vegane Burger mit Wedges oder Pommes als Beilage	Brauerstraße 40	76135	49.000670	8.385601	S ZKM	0721 8198787		11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	12:00 - 01:00	12:00 - 01:00	www.jaroons.de	mail@jaroons.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1
Meydan	28.12.17	Hier gibt es einen veganen Burger, einen Vegan-Dönerteller, eine Vegan-Dönerpizza, eine vegane Gemüsepizza, vegane Dönerbox, ein Gericht mit gefüllter Aubergine, eine vegane Suppe, veganen Falafel-Yufka und oft vegane Tagesgerichte. 	Werderstraße 41	76137	49.001670	8.407119	S Werderstraße / Kongresszentrum	0721 60902056		11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	12:00 - 22:00			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	1
!Café Kongress	28.12.17		Ettlingerstraße 11a	76137	49.001712	8.403419	Bus Kongresszentrum			-	-	08:00 - 18:30	08:00 - 18:30	08:00 - 18:30	08:00 - 18:30	08:00 - 18:30			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	1
.MIU MIU China & Thai Food	01.01.18	Hier gibt es drei vegane Gerichte. 1. Gebratener Tofu mit Mango Curry mit Gemüse und Reis  2. Curry mit Gemüse und Reis (scharf)  3. Gebratene Reißnudeln mit Gemüse (glutenfrei)	Waldstraße 66 	76133	49.00682	8.391987	S Karlstor	0721 205584	Bestellannahme ab 10:30	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	miu-miu.asia	karlsruhe@miu-miu-china-food.de	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1
